place_id,name,lat,lng,address,rating,user_ratings_total,business_status,types,source_query
ChIJF_bqpAQ7DW0RqdeTrIB2vto,So Good Thai Browns Bay,-36.71607880000001,174.7488129,"32 Beach Front Lane, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJGzryoPwjDW0Rwdqdocg89nw,Osha Thai,-36.7263991,174.7479561,"2/579 Beach Road, Rothesay Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJRxMeSBo7DW0RX8uiIoDdzHg,Katsubi Browns Bay,-36.7166395,174.7483721,"11-19 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJyRrgbfo7DW0RoqpGYUTL-Dw,sun asian eatery.食里小馆,-36.7164736,174.7484109,"NZ/27 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJEdqN_sk7DW0Rt81IwBVMZqI,funnest,-36.71647040000001,174.7484106,"27 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJBRAIrek7DW0R7xc4wfMFZtk,MadamYen,-36.7163203,174.7484182,"31 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJbbi8alw6DW0RRLHYbQ-txWU,Siam Thai Restaurant,-36.7163117,174.7484038,"33 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ1efWb1c7DW0RSq2xpXbsgtg,海风居 Bay Breeze,-36.726407,174.7475658,"601 Beach Road, Rothesay Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJBx8-FVw6DW0RE4Kl2dv0_U0,21 Days Bar & Brasserie,-36.7160842,174.7483822,"37 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ0S8aqUI7DW0R59C1BlPNmzo,煎饼季 Crepe Time,-36.71575799999999,174.7485291,"Retail 4/47 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJSQankmQ7DW0RqFcJf7siIbs,Bayside Indian Restaurant,-36.7263546,174.747419,"603 Beach Road, Rothesay Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ5xcUEAA7DW0RZ-V6ghpU3i4,Crunchy Crunch Fast Food Browns Bay,-36.715784,174.7484273,"47 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJzf-qzRE7DW0RYl4v4Cf0lAA,Cecile’s Cafe,-36.7163244,174.7480733,"18 Clyde Road, Browns Bay, Auckland",,,,"cafe,restaurant,food,point_of_interest,store,establishment",restaurant
ChIJe-twfj07DW0RPUTQm8GbGNg,Sanku Maots’ai 三顾冒菜Browns bay,-36.71579610000001,174.7484037,"47 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJoSGjl8U7DW0RlOkExniHwMk,Mei’s Fried Chicken,-36.7163028,174.7480132,"16-22 Clyde Road, Browns Bay, Auckland",,,,"restaurant,meal_takeaway,food,point_of_interest,establishment",restaurant
ChIJv1jz4gM7DW0RHozZw2DzreM,满金香 Sri Mahkota Browns Bay,-36.71545299999999,174.7485489,"1/55 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJb1sYbVw6DW0RNSgija-lsSU,Bay Sushi,-36.7162571,174.7480092,"22 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJdQRpElw6DW0Reve1UFI8qPY,川北小馆 CHUAN BEI RESTAURANT,-36.7160073,174.7480685,"30/32 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ9xOHGFw6DW0Rzpyskgy8w-0,Neco Sushi,-36.7153418,174.7485047,"57 Clyde Road, Browns Bay, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJu20IGVw6DW0RGoXZ0-g9XGA,Treats 'N Eats,-36.7153274,174.7485111,"Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ456park7DW0R9TdsfJNj8ck,Lima's Kitchen,-36.7157074,174.7480468,"2/36 Clyde Road, Entry from Inverness Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJb6_JnV46DW0Riawaqoew37I,Java Jungle Cafe,-36.71456939999999,174.7488573,"77 Beach Front Lane, Browns Bay, North Shore",,,,"cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJH5GnAY07DW0RReYxR_ih7tY,WashoCook New Zealand,-36.715143,174.7483281,"3/63 Clyde Road, Browns Bay, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJj5NqeAA7DW0Rk-PSgNa5m7Q,Bay Eats Takeaway,-36.7145731,174.7487667,"77 Beach Front Lane, Browns Bay, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJzZj6XVw6DW0RmpbdgH1AD1U,Common Ground Eatery,-36.7150192,174.7484028,"1/63 Clyde Road, Browns Bay, Auckland",,,,"cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJC-N-aBU6DW0RK7R3HiHW63w,Cafe BayBay,-36.732674,174.7523646,"1/470 Beach Road, Murrays Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ_01IYfM7DW0RzqwDx8upbkY,Kebabs on Shore Browns Bay,-36.71570449999999,174.7478851,"2A Inverness Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJz_X3TEY7DW0Rc-yEy9MZF1c,The Cinnamon Club Indian Fusion Cuisine,-36.7327458,174.752343,"470 Beach Road, Murrays Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJpbTdy9w7DW0RYVIOcsBvl_E,Sushi Lab,-36.715334,174.7480094,"38 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJU4Q0ejU7DW0Rv9DxvHWW3fc,La Spiaggia,-36.73275900000001,174.7522701,"1/470 Beach Road, Murrays Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJAxNwD1w6DW0Rcp2wjYySuJM,Galak Chinese Restaurant,-36.71554649999999,174.7477314,"1/38 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJZbNmSTk7DW0Rx5L8VSrcm2g,Atas Kitchen local Caffee &Malaysian Vietnamese,-36.7145534,174.7484408,"77 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJCbpbs2Y7DW0Ry7REVugZtz0,Lily’s Asian Fusion North Shore 百合花园餐厅,-36.7145674,174.7484258,"77 Clyde Road, Browns Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJewmR6-w6DW0ReldnzqLWLOY,Chand Indian Restaurant Torbay,-36.69598939999999,174.7519127,"1028 Beach Road, Torbay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ91o7Mv06DW0R5pBZLNpH7p0,Mr One,-36.69820929999999,174.7333871,"61 Stredwick Drive, Torbay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ92kNA0Y7DW0R9WbSHDegdpM,Penglai Takeaway,-36.6956193,174.7458989,"2/44 County Road, Torbay, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJiRYkMkc7DW0Ri1kzpz1gwGE,Domino's Pizza Long Bay,-36.6848956,174.7400841,"167 Glenvar Ridge Road, Long Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJl-cz1uY7DW0RR0gnrOEFOlA,Bukhara Indian Eatery And Bar,-36.6852136,174.740575,"R4 /B3, 88 Te Oneroa Way, Long Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJv_P2Ev07DW0RozwRUVa1LkY,Long Bay Fisheries,-36.6851504,174.7406533,"88 Te Oneroa Way, Long Bay, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJ4wuS_EM7DW0R4fxgw3HQlXg,Maru Sushi & Don Long Bay,-36.6850605,174.740649,"88 Te Oneroa Way, Long Bay, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJPyaDbwA7DW0RryevNM28vyA,November Eatery Long Bay,-36.6848139,174.7406019,"88 Te Oneroa Way, Torbay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJpe5Llco7DW0Rp8nKMsMbxZA,Birds of a Feather 鹊羽,-36.6847188,174.7408927,"1/56 Bounty Road, Long Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJMaPKY847DW0RdzLTYxsMWAI,Long Bay Surf Club,-36.68468589999999,174.741369,"4/56 Bounty Road, Long Bay, Auckland",,,,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJpfUz6Ds7DW0R-ToFQr13niU,TROY,-36.6950803,174.7507413,"4/1056 Beach Road, Torbay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ1ybE7uw6DW0RQshHO3Y5rcI,Traditional Roast,-36.6951528,174.7507885,"1056 Beach Road, Torbay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJJYKU7uw6DW0RSlKojQUfEgk,Sushi Torbay,-36.6951757,174.7508311,"1056 Beach Road, Torbay, Auckland",,,,"restaurant,point_of_interest,food,establishment",restaurant
