place_id,name,lat,lng,address,types,source_query
ChIJI4vOOmxHDW0RgyiviRmFzck,Seabreeze,-36.853848,174.7177289,"184 Garnet Road, Westmere, Auckland","cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJu5wAkE9HDW0R379BbLtMCcs,ESARN ROCKET Thai Street Food,-36.8541739,174.7180724,"170 Garnet Road, Westmere, Auckland","meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJ5ZkNhgClC20Rg-cKAOMJxOo,Ragtag,-36.8542437,174.7181346,"162 Garnet Road, Westmere, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJCaJ0mk5HDW0Rw48VjB16Pvw,Good Dog Bad Dog Point Chevalier,-36.8699256,174.7111505,"Suite 4/1179 Great North Road, Point Chevalier, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJZ5HPLmxHDW0R32RbOtPFiwQ,The Fish & Chip Shop Westmere,-36.8535208,174.7180534,"127 West End Road, Westmere, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJXxYbXvNIDW0RbwbYg3rAC-M,Bon Sushi Pt Chev,-36.870952,174.710019,"1236 Great North Road, Point Chevalier, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJ3bFgo4daBQYRJyFKe1ItBFM,Curry Fever Indian Takeaway,-36.8708073,174.7103352,"1224 Great North Road, Point Chevalier, Auckland","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJ0yANdhhHDW0RPnUBWZGOGHQ,Hong Kong Garden Takeaways,-36.8705165,174.710812,"1204 Great North Road, Point Chevalier, Auckland","meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJiYlYadVHDW0R0kj03Pfi_9w,Hungry Time,-36.8706412,174.7106694,"1212 Great North Road, Point Chevalier, Auckland","meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJAyCAaNVHDW0RLuj5rXIPUmc,Wapiti Bar,-36.8710844,174.709984,"4 Carrington Road, Point Chevalier, Auckland","bar,night_club,meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJpcAeJbdHDW0REMXWc0RFje4,Back to the Kitchen,-36.8710636,174.710028,"5 Carrington Road, Point Chevalier, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJqQ4RMhhHDW0RJgC3TMxo-50,Harleys Bar & Restaurant,-36.8695655,174.7128894,"1130 Great North Road, Point Chevalier, Auckland","bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJd4joWqRHDW0R8hXgegsitvE,The Surrey Hotel,-36.8663862,174.7392079,"465 Great North Road, Grey Lynn, Auckland","lodging,restaurant,food,point_of_interest,establishment",restaurant
ChIJNyOPsJZHDW0RH8nBDbSdcxA,Chapel Bar & Bistro,-36.85504239999999,174.7463728,"147 Ponsonby Road, Ponsonby, Auckland","bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJJVc5VHVHDW0R3-HvICWijWY,Malt Public House,-36.8588405,174.7312776,"442 Richmond Road, Grey Lynn, Auckland","restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJhZw_bplHDW0RHs1wGa8UKlA,Ripe Deli in Grey Lynn,-36.85492449999999,174.7386958,"172/174 Richmond Road, Grey Lynn, Auckland","bakery,meal_takeaway,restaurant,food,point_of_interest,store,establishment",restaurant
ChIJDcmj0pVHDW0RwdGqnMkIPLI,BurgerFuel Ponsonby,-36.85723,174.747853,"114 Ponsonby Road, Grey Lynn, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJQ3yEHpFHDW0Rka8ZeCQTnsc,Prego Restaurant,-36.852697,174.744828,"226 Ponsonby Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJDcmj0pVHDW0R9GZAD-UjNW8,Longroom & Longshot,-36.8572011,174.7478098,"114 Ponsonby Road, Grey Lynn, Auckland","bar,cafe,night_club,restaurant,food,point_of_interest,establishment",restaurant
ChIJQa0pSpBHDW0R0N07NJ99kA0,Bambina,-36.850452,174.7442027,"268 Ponsonby Road, Ponsonby, Auckland","cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJQ_Cf13lHDW0RmndifaSy7AE,Empress Garden Restaurant,-36.8480833,174.7284,"227 Jervois Road, Herne Bay, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJk8G79XVHDW0RkXAlB9EP73M,THE BRUNCHERY,-36.8553139,174.7307083,"318 Richmond Road, Grey Lynn, Auckland","cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJ4VwbgIVHDW0RbrSpXbsyD5s,Jervois Steak House,-36.8461677,174.7418873,"70 Jervois Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJ0xMLnINHDW0R0nNTLmXV27Y,Andiamo Eatery,-36.84551250000001,174.7358568,"194 Jervois Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJLZgjtZZHDW0RUwM4wudwDOk,Gigi Ponsonby,-36.8543551,174.7461662,"165 Ponsonby Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
