place_id,name,lat,lng,address,types,source_query
ChIJq6qqdjdKDW0R7dGcfs34LCY,Waiotaiki Nature Reserve,-36.8773256,174.8747163,"Waiotaiki Nature Reserve 1 Fernwood Place, Glen Innes, Auckland","park,point_of_interest,establishment",park
ChIJIdpLe9BLDW0Rej0xjOGsV0Q,Tamaki Urban Market Garden (TUMG),-36.8715,174.8651389,"17 Elstree Avenue, Glen Innes, Auckland","park,point_of_interest,establishment",park
ChIJ-dFOdUhJDW0R87nxITH1ck4,Winifred Huggins Woodland (Tree Trail),-36.89370900000001,174.8504936,"Maungarei Memorial Drive, Mount Wellington, Auckland","park,point_of_interest,establishment",park
ChIJ_5iMazxKDW0Rluh6O12xFks,Leybourne Reserve,-36.87105819999999,174.8701481,"42 Leybourne Circle, Glen Innes, Auckland","park,point_of_interest,establishment",park
ChIJ266OajxKDW0RHyVQXNfJkFo,West Tamaki Reserve,-36.8693114,174.8710442,"42 Leybourne Circle, Glen Innes, Auckland","park,point_of_interest,establishment",park
ChIJnUfbiY5JDW0Rd89S0LSklZY,Apirana Reserve,-36.8699373,174.8486481,"Glen Innes, Auckland","park,point_of_interest,establishment",park
ChIJy4h3rCJKDW0RIygEu2n6FY8,Crossfield Reserve,-36.86628059999999,174.8658349,"83 Crossfield Road, Glendowie, Auckland","park,point_of_interest,establishment",park
ChIJOVkXzDlKDW0RQVucOhmCCjo,Waiotaiki Nature Reserve,-36.87809010000001,174.8743825,Glen Innes,"park,premise,point_of_interest,establishment",park
ChIJLTBK9wFLDW0Rm_yT9CZZg7U,Ohuiarangi / Pigeon Mountain,-36.88937689999999,174.9024237,"50 Glennandrew Drive, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJP9x4MbJLDW0ROGLgegDqDIA,Bramley Reserve - Rotary Walkway,-36.89181649999999,174.8858046,"92 Bramley Drive, Farm Cove, Auckland","park,tourist_attraction,point_of_interest,establishment",park
ChIJ5Yy1duBKDW0R0NGcJGLvAA8,Murvale Reserve,-36.8871338,174.9168326,"16R Murvale Drive, Bucklands Beach, Auckland","park,point_of_interest,establishment",park
ChIJ2VdR8SpLDW0R86w9psUvPsQ,Falstaff Place Reserve,-36.8848811,174.8942096,"38 Falstaff Place, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJKYi-qVVKDW0RWf_sZ_IX-rY,Nimrod Park,-36.88499609999999,174.8960766,"Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJhXncfVZKDW0RcB6BsIJyeYE,Compass Point Reserve,-36.88207510000001,174.8959138,"54 Compass Point Way, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJ29S0XgBLDW0RexHDddxhAdM,Tyrian Park,-36.8852699,174.8996583,"Heights Park, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJVxmLNK1LDW0RDvW1D77hogI,William Bryan Drive Reserve,-36.88755070000001,174.8894953,"25 William Bryan Drive, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
